timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-04-20T16:21:01,codecarbon,09851e3c-3eb5-4e56-a07d-907c52f12968,7.914249897003174,2.080604616043634e-05,2.628934697691919e-06,22.5,16.701556820437514,5.776828765869141,4.945781528949737e-05,3.670280713996554e-05,1.2691754701970696e-05,9.88523771314336e-05,United States,USA,new york,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-74.0068,40.7123,15.404876708984377,machine,N,1.0
2024-04-20T16:23:02,codecarbon,e1d96761-a690-4812-a273-8105909d4772,11.61924409866333,3.1232980250948726e-05,2.6880389107706025e-06,22.5,17.717272807584273,5.776828765869141,7.261401563882828e-05,5.714671238399305e-05,1.863144216164832e-05,0.0001483921701844,United States,USA,new york,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-74.0068,40.7123,15.404876708984377,machine,N,1.0
2024-04-20T17:20:03,codecarbon,2273e66c-9eb6-4322-a7f8-a8b4697bf100,12.134233474731444,3.2406912654573566e-05,2.670701262016948e-06,22.5,17.40925939907711,5.776828765869141,7.583268284797668e-05,5.867032471384981e-05,1.946667637970677e-05,0.0001539696839415,United States,USA,new york,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-74.0068,40.7123,15.404876708984377,machine,N,1.0
2024-04-20T17:20:31,codecarbon,ba99f072-ab23-41c2-813c-6de8511f00fc,18.743337631225582,5.006796183344451e-05,2.671240459865241e-06,22.5,19.7115717236526,5.776828765869141,0.0001171331629157,9.068396143607772e-05,3.006262498633229e-05,0.0002378797493381,United States,USA,new york,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-74.0068,40.7123,15.404876708984377,machine,N,1.0
2024-04-20T17:33:22,codecarbon,60c61b8a-8b06-4f86-a9bd-cf684a6541da,12.25261616706848,3.352090596159798e-05,2.735816213005396e-06,22.5,18.53385928901968,5.776828765869141,7.656010389328002e-05,6.305421710983694e-05,1.9648097831856527e-05,0.0001592624188349,United States,USA,new york,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-74.0068,40.7123,15.404876708984377,machine,N,1.0
2024-04-20T17:34:00,codecarbon,cf4632d7-45c9-49cb-b339-ee6ce1e74ba5,18.153750896453857,4.856409964006851e-05,2.675155119020334e-06,22.5,19.484107230125865,5.776828765869141,0.0001134421616792,8.818507054786373e-05,2.910746170031341e-05,0.0002307346939274,United States,USA,new york,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-74.0068,40.7123,15.404876708984377,machine,N,1.0
2024-04-20T17:49:59,codecarbon,8cdc912d-6805-4d2f-8a3d-f00e3037f42f,0.1608357429504394,7.585821643039916e-07,4.716502379310947e-06,22.5,53.478983610342425,5.776828765869141,9.989306330680846e-07,2.351946325918064e-06,2.532508802354035e-07,3.604127839221552e-06,United States,USA,new york,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-74.0068,40.7123,15.404876708984377,machine,N,1.0
2024-04-20T17:50:10,codecarbon,6b68fee0-a7f5-4f4b-8635-f8d78e1379e5,2.4432156085968018,6.794561818229866e-06,2.7809914910179167e-06,22.5,19.32397855956083,5.776828765869141,1.526384949684143e-05,1.3103899371813554e-05,3.914145640244443e-06,3.228189450889943e-05,United States,USA,new york,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-74.0068,40.7123,15.404876708984377,machine,N,1.0
2024-04-20T18:52:36,codecarbon,5a2b9ad1-64f2-4dd2-be8d-c9c76af198f8,11.677445650100708,5.387022481346185e-05,4.613185659570787e-06,22.5,16.73264366482255,5.776828765869141,7.298403531312942e-05,5.423004338411808e-05,1.8722545036581173e-05,0.0001459366237338,United States,USA,virginia,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-77.0757,38.8924,15.404876708984377,machine,N,1.0
2024-04-20T18:52:59,codecarbon,13a67e42-917b-40bd-8153-77c82a274b1e,17.412603616714478,7.922866041650303e-05,4.550075460309158e-06,22.5,19.086447474732463,5.776828765869141,0.0001088052526116,7.790895121595476e-05,2.7919450369617307e-05,0.0002146336541972,United States,USA,virginia,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-77.0757,38.8924,15.404876708984377,machine,N,1.0
2024-04-20T18:55:21,codecarbon,57c4895e-3038-4cf1-88ab-427ea64a9cac,0.1397316455841064,1.613785082668656e-06,1.1549173960720988e-05,22.5,86.54216438611697,5.776828765869141,8.67067277431488e-07,3.2869470740770623e-06,2.177948847103532e-07,4.371809236218903e-06,United States,USA,virginia,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-77.0757,38.8924,15.404876708984377,machine,N,1.0
2024-04-20T18:55:33,codecarbon,ea0aa811-b4b9-4c23-aa36-add4dae9b940,2.571366310119629,1.1778508975569944e-05,4.5806421781352366e-06,22.5,16.44299503527326,5.776828765869141,1.607103943824768e-05,1.172112048775098e-05,4.116298567824591e-06,3.190845849382325e-05,United States,USA,virginia,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-77.0757,38.8924,15.404876708984377,machine,N,1.0
2024-04-20T18:56:11,codecarbon,79ad9091-8a0a-4ba0-b578-df3595ca6b02,0.1035542488098144,8.66923176004224e-07,8.371681374430099e-06,22.5,58.30431073556574,5.776828765869141,6.40907883644104e-07,1.555279022236178e-06,1.5234313610032284e-07,2.3485300419806046e-06,United States,USA,virginia,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-77.0757,38.8924,15.404876708984377,machine,N,1.0
2024-04-20T18:56:22,codecarbon,6efa4617-0a33-4a52-bc2a-c523335a7d8a,0.0700812339782714,1.973323160143068e-07,2.815765431234976e-06,22.5,0.0,5.776828765869141,4.317536950111389e-07,0.0,1.0282755191004377e-07,5.345812469211826e-07,United States,USA,virginia,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-77.0757,38.8924,15.404876708984377,machine,N,1.0
2024-04-20T18:56:35,codecarbon,4bea6efe-5187-48c6-a19f-7084c687c3f1,0.057021141052246,1.6146463382519976e-07,2.831662622767518e-06,22.5,0.0,5.776828765869141,3.56382131576538e-07,0.0,8.10321096757131e-08,4.374142412522511e-07,United States,USA,virginia,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-77.0757,38.8924,15.404876708984377,machine,N,1.0
2024-04-20T18:57:20,codecarbon,8661de58-0f95-4f91-b437-352e5b697869,11.386739730834961,5.3317272404635156e-05,4.682400201020976e-06,22.5,17.408753307051633,5.776828765869141,7.115464210510253e-05,5.5027266243845574e-05,1.8256744884310293e-05,0.00014443865323325838,United States,USA,virginia,,,Windows-10-10.0.22631-SP0,3.9.13,2.3.5,16,AMD Ryzen 9 5900HX with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3070 Laptop GPU,-77.0757,38.8924,15.404876708984375,machine,N,1.0
